datetime	do
2020-01-10 21:30	5.66400
2020-01-10 22:00	5.64200
2020-01-10 22:30	5.71200
2020-01-10 23:00	5.71100
2020-01-10 23:30	5.65600
2020-01-11 00:00	5.60500
2020-01-11 00:30	5.51000
2020-01-11 01:00	5.47300
2020-01-11 01:30	5.47900
2020-01-11 02:00	5.47100
2020-01-11 02:30	5.47900
2020-01-11 03:00	5.40800
2020-01-11 03:30	5.39100
2020-01-11 04:00	5.40800
2020-01-11 04:30	5.42800
2020-01-11 05:00	5.40300
2020-01-11 05:30	5.40000
2020-01-11 06:00	5.39100
2020-01-11 06:30	5.37200
2020-01-11 07:00	5.37000
2020-01-11 07:30	5.32500
2020-01-11 08:00	5.32900
2020-01-11 08:30	5.38400
2020-01-11 09:00	5.46200
2020-01-11 09:30	5.47000
2020-01-11 10:00	5.44300
2020-01-11 10:30	5.44900
2020-01-11 11:00	5.51300
2020-01-11 11:30	5.48400
2020-01-11 12:00	5.45300
2020-01-11 12:30	5.50400
2020-01-11 13:00	5.57300
2020-01-11 13:30	5.65200
2020-01-11 14:00	5.79500
2020-01-11 14:30	5.89100
2020-01-11 15:00	5.99000
2020-01-11 15:30	6.05400
2020-01-11 16:00	6.14100
2020-01-11 16:30	6.24900
2020-01-11 17:00	6.27800
2020-01-11 17:30	6.23500
2020-01-11 18:00	6.14900
2020-01-11 18:30	6.13100
2020-01-11 19:00	6.09400
2020-01-11 19:30	5.93700
2020-01-11 20:00	5.67700
2020-01-11 20:30	5.53300
2020-01-11 21:00	5.54700
2020-01-11 21:30	5.46900
2020-01-11 22:00	5.48700
2020-01-11 22:30	5.44500
2020-01-11 23:00	5.41300
2020-01-11 23:30	5.49100
2020-01-12 00:00	5.45500
2020-01-12 00:30	5.44100
2020-01-12 01:00	5.33200
2020-01-12 01:30	5.31100
2020-01-12 02:00	5.32800
2020-01-12 02:30	5.31200
2020-01-12 03:00	5.34600
2020-01-12 03:30	5.33200
2020-01-12 04:00	5.30300
2020-01-12 04:30	5.29100
2020-01-12 05:00	5.32600
2020-01-12 05:30	5.29400
2020-01-12 06:00	5.21800
2020-01-12 06:30	5.25500
2020-01-12 07:00	5.24200
2020-01-12 07:30	5.20400
2020-01-12 08:00	5.17300
2020-01-12 08:30	5.16100
2020-01-12 09:00	5.21400
2020-01-12 09:30	5.28300
2020-01-12 10:00	5.33500
2020-01-12 10:30	5.35800
2020-01-12 11:00	5.33300
2020-01-12 11:30	5.42000
2020-01-12 12:00	5.43000
2020-01-12 12:30	5.42100
2020-01-12 13:00	5.42900
2020-01-12 13:30	5.50200
2020-01-12 14:00	5.66300
2020-01-12 14:30	5.77900
2020-01-12 15:00	5.89800
2020-01-12 15:30	5.99100
2020-01-12 16:00	6.05400
2020-01-12 16:30	6.05100
2020-01-12 17:00	6.02300
2020-01-12 17:30	6.02900
2020-01-12 18:00	6.07500
2020-01-12 18:30	5.95400
2020-01-12 19:00	5.94000
2020-01-12 19:30	5.83200
2020-01-12 20:00	5.75700
2020-01-12 20:30	5.67800
2020-01-12 21:00	5.44500
2020-01-12 21:30	5.37500
2020-01-12 22:00	5.34300
2020-01-12 22:30	5.31300
2020-01-12 23:00	5.30100
2020-01-12 23:30	5.26400
2020-01-13 00:00	5.32300
2020-01-13 00:30	5.33900
2020-01-13 01:00	5.29500
2020-01-13 01:30	5.28100
2020-01-13 02:00	5.25300
2020-01-13 02:30	5.23200
2020-01-13 03:00	5.24800
2020-01-13 03:30	5.28600
2020-01-13 04:00	5.26300
2020-01-13 04:30	5.24200
2020-01-13 05:00	5.21300
2020-01-13 05:30	5.21900
2020-01-13 06:00	5.26500
2020-01-13 06:30	5.22500
2020-01-13 07:00	5.20200
2020-01-13 07:30	5.30800
2020-01-13 08:00	5.24800
2020-01-13 08:30	5.18600
2020-01-13 09:00	5.24300
2020-01-13 09:30	5.29500
2020-01-13 10:00	5.38100
2020-01-13 10:30	5.52500
2020-01-13 11:00	5.49500
2020-01-13 11:30	5.49000
2020-01-13 12:00	5.55300
2020-01-13 12:30	5.70400
2020-01-13 13:00	5.67500
2020-01-13 13:30	5.67000
2020-01-13 14:00	5.70600
2020-01-13 14:30	5.98000
2020-01-13 15:00	6.22600
2020-01-13 15:30	6.39400
2020-01-13 16:00	6.53600
2020-01-13 16:30	6.59500
2020-01-13 17:00	6.56400
2020-01-13 17:30	6.59600
2020-01-13 18:00	6.59100
2020-01-13 18:30	6.65300
2020-01-13 19:00	6.63300
2020-01-13 19:30	6.54000
2020-01-13 20:00	6.47600
2020-01-13 20:30	6.37100
2020-01-13 21:00	6.18000
2020-01-13 21:30	5.82700
2020-01-13 22:00	5.75400
2020-01-13 22:30	5.70500
2020-01-13 23:00	5.65500
2020-01-13 23:30	5.64100
2020-01-14 00:00	5.62200
2020-01-14 00:30	5.62000
2020-01-14 01:00	5.61100
2020-01-14 01:30	5.58300
2020-01-14 02:00	5.60700
2020-01-14 02:30	5.61900
2020-01-14 03:00	5.61100
2020-01-14 03:30	5.62800
2020-01-14 04:00	5.67500
2020-01-14 04:30	5.69800
2020-01-14 05:00	5.72700
2020-01-14 05:30	5.71200
2020-01-14 06:00	5.74600
2020-01-14 06:30	5.80400
2020-01-14 07:00	5.81900
2020-01-14 07:30	5.77500
2020-01-14 08:00	5.93200
2020-01-14 08:30	5.79700
2020-01-14 09:00	5.73500
2020-01-14 09:30	5.51400
2020-01-14 10:00	5.56200
2020-01-14 10:30	5.60600
2020-01-14 11:00	5.64600
2020-01-14 11:30	5.74900
2020-01-14 12:00	5.78700
2020-01-14 12:30	5.75400
2020-01-14 13:00	5.88500
2020-01-14 13:30	6.05300
2020-01-14 14:00	6.09700
2020-01-14 14:30	6.07300
2020-01-14 15:00	6.19600
2020-01-14 15:30	6.40800
2020-01-14 16:00	6.66400
2020-01-14 16:30	6.84300
2020-01-14 17:00	7.06700
2020-01-14 17:30	7.15300
2020-01-14 18:00	7.18700
2020-01-14 18:30	7.12700
2020-01-14 19:00	7.16500
2020-01-14 19:30	7.10700
2020-01-14 20:00	7.08200
2020-01-14 20:30	6.88200
2020-01-14 21:00	6.74300
2020-01-14 21:30	6.55000
2020-01-14 22:00	6.29600
2020-01-14 22:30	6.00000
2020-01-14 23:00	5.82600
2020-01-14 23:30	5.74700
2020-01-15 00:00	5.70400
2020-01-15 00:30	5.69100
2020-01-15 01:00	5.63600
2020-01-15 01:30	5.70200
2020-01-15 02:00	5.80000
2020-01-15 02:30	5.77400
2020-01-15 03:00	5.81500
2020-01-15 03:30	5.91900
2020-01-15 04:00	5.89400
2020-01-15 04:30	5.94400
2020-01-15 05:00	5.95900
2020-01-15 05:30	6.01400
2020-01-15 06:00	6.01100
2020-01-15 06:30	6.03700
2020-01-15 07:00	6.09400
2020-01-15 07:30	6.23500
2020-01-15 08:00	6.24100
2020-01-15 08:30	6.03300
2020-01-15 09:00	6.21700
2020-01-15 09:30	6.15900
2020-01-15 10:00	5.83500
2020-01-15 10:30	5.63800
2020-01-15 11:00	5.54800
2020-01-15 11:30	5.63900
2020-01-15 12:00	5.70400
2020-01-15 12:30	5.67400
2020-01-15 13:00	5.67900
2020-01-15 13:30	5.79700
2020-01-15 14:00	5.98100
2020-01-15 14:30	6.13500
2020-01-15 15:00	6.16800
2020-01-15 15:30	6.20600
2020-01-15 16:00	6.27300
2020-01-15 16:30	6.38800
2020-01-15 17:00	6.62500
2020-01-15 17:30	6.75800
2020-01-15 18:00	6.84200
2020-01-15 18:30	6.87700
2020-01-15 19:00	6.87100
2020-01-15 19:30	6.81600
